gene_symbol	log2fc	padj	pvalue	ensembl_id
CHCHD3P3	-0.323329238083476	0.0795892111658463	6.82151803030355e-06	ENSG00000214973
MRPL34	-0.373140166987949	0.0795892111658463	1.47728496929004e-05	ENSG00000130312
CHCHD10	-0.33723924740235	0.0795892111658463	1.85304674179169e-05	ENSG00000250479
C14ORF2	-0.301868974295397	0.0795892111658463	2.38305046482025e-05	ENSG00000156411
MLIP	0.27691539112324	0.0795892111658463	2.80355540713324e-05	ENSG00000146147
CYP2E1	0.564841343527623	0.0795892111658463	4.29213987511704e-05	ENSG00000130649
TRIM69	-0.259428003552319	0.0795892111658463	5.21288844191814e-05	ENSG00000185880
UQCRHL	-0.311173104749883	0.0795892111658463	5.49925495558026e-05	ENSG00000233954
EFCAB6	0.377648918690578	0.0795892111658463	6.17977719343054e-05	ENSG00000186976
CLTB	-0.15961954378601	0.0795892111658463	6.19198775751267e-05	ENSG00000175416
MIR3607	-0.324578066616546	0.0795892111658463	6.20352844335427e-05	ENSG00000127184
TIMMDC1	-0.218863506222312	0.0795892111658463	6.48917363048326e-05	ENSG00000113845
MRPL33	-0.257807083934667	0.0795892111658463	6.59467277867828e-05	ENSG00000243147
COX10	-0.272208791247402	0.0795892111658463	6.88698513119438e-05	ENSG00000006695
CHCHD1	-0.217034807580021	0.0795892111658463	8.01753639671802e-05	ENSG00000172586
ATP5G3	-0.431527048447476	0.0795892111658463	9.57585624224969e-05	ENSG00000154518
NDUFC1	-0.337083891253486	0.0795892111658463	0.000105029621155942	ENSG00000109390
HOXB-AS1	-0.46803733720915	0.0795892111658463	0.0001051036549159	ENSG00000230148
ABLIM2	0.312881610062561	0.0795892111658463	0.00011401898491159	ENSG00000163995
RP11-742D12.2	-0.786858198772774	0.0795892111658463	0.000114147652820675	ENSG00000270112
EMC6	-0.214044731902015	0.0795892111658463	0.000121124132179608	ENSG00000127774
RBM33	0.214505960128002	0.0795892111658463	0.000126326248339195	ENSG00000184863
TIMM21	-0.246938716863927	0.0795892111658463	0.000126428548662286	ENSG00000075336
CHCHD3	-0.229439645455441	0.0795892111658463	0.000129212806937118	ENSG00000106554
MTX2	-0.263731875774862	0.0795892111658463	0.000140361307934317	ENSG00000128654
ZNF75A	0.201905912414926	0.0795892111658463	0.000144184412003249	ENSG00000162086
MRPL20	-0.140998103630258	0.0795892111658463	0.000149896475534059	ENSG00000242485
ATP5L	-0.298514615327951	0.0795892111658463	0.000152357387272852	ENSG00000167283
PLGRKT	-0.230392616379705	0.0795892111658463	0.000158959994183166	ENSG00000107020
GPAT2	-0.533657793014573	0.0795892111658463	0.000163169968529407	ENSG00000186281
COX8A	-0.317295075149917	0.0795892111658463	0.000166287214309668	ENSG00000176340
MCM6	0.194543733563969	0.0795892111658463	0.000169019100374064	ENSG00000076003
POM121C	0.28318576822427	0.0795892111658463	0.000181263691646787	ENSG00000272391
MRPL51	-0.165916839513405	0.0795892111658463	0.000193353464963977	ENSG00000111639
TRAIP	0.603502504806264	0.0795892111658463	0.000205726007520967	ENSG00000183763
MRPL27	-0.196278270504005	0.0795892111658463	0.000206564196160564	ENSG00000108826
OBSL1	0.264493127551314	0.0795892111658463	0.00020977298041563	ENSG00000124006
NDUFAB1	-0.325016438307531	0.0795892111658463	0.000215041735538885	ENSG00000004779
APOO	-0.350584583738654	0.0795892111658463	0.00022013849022132	ENSG00000184831
UQCRB	-0.29030174053509	0.0795892111658463	0.000224133496497792	ENSG00000156467
RP11-480I12.2	-0.324042586902309	0.0795892111658463	0.000225935722434562	ENSG00000235449
SLC25A4	-0.322540255663602	0.0795892111658463	0.000229176909017986	ENSG00000151729
SLC25A3	-0.240574262004228	0.0795892111658463	0.00023275912573913	ENSG00000075415
NDUFB3	-0.282637437178428	0.0795892111658463	0.000246023608683853	ENSG00000119013
SLC16A1	-0.364739375240387	0.0795892111658463	0.000246288952541964	ENSG00000155380
LMTK2	0.25909584339025	0.0795892111658463	0.00025784983343402	ENSG00000164715
ATP5J	-0.330734724204287	0.0795892111658463	0.000262651364231306	ENSG00000154723
MRPS15	-0.178512455474138	0.0795892111658463	0.000267289786565447	ENSG00000116898
PPIC	-0.260900090642962	0.0795892111658463	0.000269070121547289	ENSG00000168938
EIF3K	-0.198421594868667	0.0795892111658463	0.00027047914428979	ENSG00000178982
GLRX5	-0.312981786689577	0.0795892111658463	0.000270693506617894	ENSG00000182512
ORAOV1	0.187209063799959	0.0795892111658463	0.000274057888841798	ENSG00000149716
NDUFB4	-0.245858830275164	0.0795892111658463	0.000275830052405956	ENSG00000065518
SH3BP5-AS1	0.31825458157335	0.0795892111658463	0.000283676432491228	ENSG00000224660
SDHD	-0.261463955860292	0.0795892111658463	0.000285379032897245	ENSG00000204370
COX7CP1	-0.283490722253212	0.0795892111658463	0.000285615881943404	ENSG00000235957
VDAC2	-0.217870814562312	0.0795892111658463	0.000290786566562561	ENSG00000165637
PTGES2	-0.239642369599514	0.0795892111658463	0.000291187274001541	ENSG00000148334
COX6C	-0.299814665646262	0.0795892111658463	0.000291801793728338	ENSG00000164919
SUCLG1	-0.246159287658347	0.0795892111658463	0.000296707033237164	ENSG00000163541
NDUFA5P11	-0.328179158280423	0.0795892111658463	0.000297903306133197	ENSG00000259918
CMC2	-0.239641447973158	0.0795892111658463	0.000299477916050602	ENSG00000103121
MIR4691	-0.222620364114523	0.0795892111658463	0.000300999334894766	ENSG00000110717
NDUFB2	-0.248097965329313	0.0795892111658463	0.000316142071001703	ENSG00000090266
NUDT15	-0.271093184394787	0.0795892111658463	0.000322340217405699	ENSG00000136159
NDUFA6	-0.257471378104933	0.0795892111658463	0.000334487770482413	ENSG00000184983
FAM96A	-0.345406249022618	0.0795892111658463	0.000336263670101845	ENSG00000166797
COX5A	-0.285895257027593	0.0795892111658463	0.000336896951932721	ENSG00000178741
FAM120B	0.189755058073983	0.0795892111658463	0.000341327584722334	ENSG00000112584
MRPS9	-0.219045622704328	0.0795892111658463	0.000351065528687672	ENSG00000135972
KLF5	0.353511455091118	0.0795892111658463	0.000354539508190894	ENSG00000102554
MIR1307	-0.307599858476386	0.0795892111658463	0.00035895376519905	ENSG00000173915
NDUFB1	-0.261545966174252	0.0795892111658463	0.00035975055433325	ENSG00000183648
OR51E1	-0.750555209059503	0.0795892111658463	0.000359997181694944	ENSG00000180785
NEDD4L	0.195431133171794	0.0795892111658463	0.000362226875438931	ENSG00000049759
TIMM23	-0.180269373387601	0.0795892111658463	0.000369881639450998	ENSG00000265354
CKMT2	-0.470968045209761	0.0795892111658463	0.000374144698149806	ENSG00000131730
VEGFA	-0.376731441976714	0.0795892111658463	0.000375878981716202	ENSG00000112715
